ダウンロードした時刻：2017/08/30 17:06:00

,東京,東京,東京
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
1872/1,,0,1
1872/2,,0,1
1872/3,,0,1
1872/4,,0,1
1872/5,,0,1
1872/6,,0,1
1872/7,,0,1
1872/8,,0,1
1872/9,,0,1
1872/10,,0,1
1872/11,,0,1
1872/12,,0,1
1873/1,,0,1
1873/2,,0,1
1873/3,,0,1
1873/4,,0,1
1873/5,,0,1
1873/6,,0,1
1873/7,,0,1
1873/8,,0,1
1873/9,,0,1
1873/10,,0,1
1873/11,,0,1
1873/12,,0,1
1874/1,,0,1
1874/2,,0,1
1874/3,,0,1
1874/4,,0,1
1874/5,,0,1
1874/6,,0,1
1874/7,,0,1
1874/8,,0,1
1874/9,,0,1
1874/10,,0,1
1874/11,,0,1
1874/12,,0,1
1875/1,,0,1
1875/2,,0,1
1875/3,,0,1
1875/4,,0,1
1875/5,,0,1
1875/6,22.3,4,1
1875/7,26.0,5,1
1875/8,24.9,8,1
1875/9,21.5,8,1
1875/10,15.3,8,1
1875/11,9.7,5,1
1875/12,4.6,8,1
1876/1,1.6,8,1
1876/2,3.4,5,1
1876/3,8.1,8,1
1876/4,12.2,8,1
1876/5,17.0,8,1
1876/6,18.5,8,1
1876/7,24.3,8,1
1876/8,26.6,8,1
1876/9,22.6,5,1
1876/10,14.8,5,1
1876/11,9.1,8,1
1876/12,4.8,8,1
1877/1,3.2,8,1
1877/2,3.6,8,1
1877/3,6.2,8,1
1877/4,13.6,8,1
1877/5,16.5,8,1
1877/6,22.0,8,1
1877/7,26.5,8,1
1877/8,25.9,8,1
1877/9,21.3,8,1
1877/10,15.9,8,1
1877/11,9.6,8,1
1877/12,5.8,8,1
1878/1,2.3,8,1
1878/2,2.5,8,1
1878/3,7.2,8,1
1878/4,11.5,8,1
1878/5,18.3,8,1
1878/6,20.0,8,1
1878/7,26.0,8,1
1878/8,24.6,8,1
1878/9,22.8,8,1
1878/10,15.8,8,1
1878/11,9.7,8,1
1878/12,5.1,8,1
1879/1,3.2,8,1
1879/2,5.4,8,1
1879/3,8.0,8,1
1879/4,12.6,8,1
1879/5,18.0,8,1
1879/6,21.4,5,1
1879/7,26.1,8,1
1879/8,26.6,8,1
1879/9,21.3,8,1
1879/10,15.0,8,1
1879/11,9.7,8,1
1879/12,8.0,8,1
1880/1,2.6,8,1
1880/2,5.8,8,1
1880/3,8.4,8,1
1880/4,12.3,8,1
1880/5,17.7,8,1
1880/6,19.8,8,1
1880/7,24.2,8,1
1880/8,25.5,8,1
1880/9,22.5,8,1
1880/10,16.6,8,1
1880/11,10.2,8,1
1880/12,3.9,8,1
1881/1,2.1,8,1
1881/2,3.7,8,1
1881/3,5.3,8,1
1881/4,11.6,8,1
1881/5,17.2,8,1
1881/6,21.3,8,1
1881/7,24.0,8,1
1881/8,26.7,8,1
1881/9,22.7,8,1
1881/10,15.7,8,1
1881/11,11.0,8,1
1881/12,4.3,8,1
1882/1,4.6,8,1
1882/2,5.2,8,1
1882/3,6.9,8,1
1882/4,13.7,8,1
1882/5,16.8,8,1
1882/6,20.4,8,1
1882/7,24.2,5,1
1882/8,24.7,5,1
1882/9,21.1,8,1
1882/10,15.4,8,1
1882/11,9.6,8,1
1882/12,5.0,8,1
1883/1,3.1,8,1
1883/2,1.9,8,1
1883/3,5.3,8,1
1883/4,12.0,8,1
1883/5,15.5,8,1
1883/6,19.8,8,1
1883/7,23.7,8,1
1883/8,25.1,8,1
1883/9,21.8,8,1
1883/10,16.7,8,1
1883/11,10.0,8,1
1883/12,5.0,8,1
1884/1,2.6,8,1
1884/2,2.7,8,1
1884/3,6.1,8,1
1884/4,11.6,8,1
1884/5,15.5,8,1
1884/6,19.8,8,1
1884/7,23.4,8,1
1884/8,24.1,8,1
1884/9,22.3,8,1
1884/10,15.8,8,1
1884/11,7.6,8,1
1884/12,3.4,8,1
1885/1,0.6,8,1
1885/2,2.2,5,1
1885/3,4.9,8,1
1885/4,10.7,8,1
1885/5,15.2,8,1
1885/6,20.3,8,1
1885/7,23.1,8,1
1885/8,25.4,8,1
1885/9,22.1,8,1
1885/10,16.1,8,1
1885/11,10.7,8,1
1885/12,5.7,8,1
1886/1,2.4,8,1
1886/2,2.0,8,1
1886/3,6.9,8,1
1886/4,12.3,8,1
1886/5,16.4,8,1
1886/6,20.9,8,1
1886/7,25.0,8,1
1886/8,26.5,8,1
1886/9,23.2,8,1
1886/10,16.6,8,1
1886/11,10.2,8,1
1886/12,4.7,8,1
1887/1,2.7,8,1
1887/2,4.3,8,1
1887/3,6.9,8,1
1887/4,12.2,8,1
1887/5,15.2,8,1
1887/6,20.3,8,1
1887/7,23.6,8,1
1887/8,25.3,8,1
1887/9,21.0,8,1
1887/10,16.6,8,1
1887/11,11.6,8,1
1887/12,5.7,8,1
1888/1,3.3,8,1
1888/2,2.2,8,1
1888/3,7.2,8,1
1888/4,12.4,8,1
1888/5,16.0,8,1
1888/6,18.6,8,1
1888/7,24.5,8,1
1888/8,25.6,8,1
1888/9,20.9,8,1
1888/10,15.0,8,1
1888/11,11.4,8,1
1888/12,5.2,8,1
1889/1,2.1,8,1
1889/2,3.1,8,1
1889/3,6.9,8,1
1889/4,12.0,8,1
1889/5,15.7,8,1
1889/6,20.9,8,1
1889/7,23.4,8,1
1889/8,25.8,8,1
1889/9,20.3,8,1
1889/10,14.6,8,1
1889/11,9.7,8,1
1889/12,4.9,8,1
1890/1,3.4,8,1
1890/2,6.1,8,1
1890/3,9.2,8,1
1890/4,14.2,8,1
1890/5,16.1,8,1
1890/6,22.0,8,1
1890/7,23.5,8,1
1890/8,25.4,8,1
1890/9,24.2,8,1
1890/10,16.0,8,1
1890/11,10.8,8,1
1890/12,9.3,8,1
1891/1,2.4,8,1
1891/2,3.8,8,1
1891/3,8.9,8,1
1891/4,12.0,8,1
1891/5,18.2,8,1
1891/6,20.3,8,1
1891/7,24.9,8,1
1891/8,25.5,8,1
1891/9,24.3,8,1
1891/10,16.5,8,1
1891/11,10.4,8,1
1891/12,5.6,8,1
1892/1,3.7,8,1
1892/2,4.1,8,1
1892/3,5.1,8,1
1892/4,13.1,8,1
1892/5,16.6,8,1
1892/6,21.1,8,1
1892/7,25.7,8,1
1892/8,26.4,8,1
1892/9,23.0,8,1
1892/10,16.5,8,1
1892/11,9.9,8,1
1892/12,3.3,8,1
1893/1,2.6,8,1
1893/2,2.2,8,1
1893/3,6.2,8,1
1893/4,13.3,8,1
1893/5,15.8,8,1
1893/6,20.5,8,1
1893/7,25.3,8,1
1893/8,26.2,8,1
1893/9,22.5,8,1
1893/10,15.9,8,1
1893/11,10.1,8,1
1893/12,4.7,8,1
1894/1,3.0,8,1
1894/2,3.7,8,1
1894/3,8.4,8,1
1894/4,13.8,8,1
1894/5,16.3,8,1
1894/6,23.6,8,1
1894/7,26.8,8,1
1894/8,27.0,8,1
1894/9,21.9,8,1
1894/10,15.4,8,1
1894/11,11.6,8,1
1894/12,5.8,8,1
1895/1,2.1,8,1
1895/2,4.0,8,1
1895/3,6.9,8,1
1895/4,12.9,8,1
1895/5,17.5,8,1
1895/6,20.4,8,1
1895/7,22.1,8,1
1895/8,25.5,8,1
1895/9,22.9,8,1
1895/10,16.5,8,1
1895/11,9.9,8,1
1895/12,5.4,8,1
1896/1,3.3,8,1
1896/2,3.5,8,1
1896/3,6.0,8,1
1896/4,13.7,8,1
1896/5,16.6,8,1
1896/6,21.6,8,1
1896/7,24.1,8,1
1896/8,25.9,8,1
1896/9,22.3,8,1
1896/10,15.8,8,1
1896/11,10.7,8,1
1896/12,4.8,8,1
1897/1,3.7,8,1
1897/2,3.5,8,1
1897/3,5.7,8,1
1897/4,11.3,8,1
